decaimiento (us);evento;evento restado
40004;1707958774;304
40005;1707958775;305
40003;1707958776;306
40003;1707958777;307
40005;1707958778;308
40003;1707958779;309
40003;1707958780;310
40003;1707958781;311
40004;1707958782;312
40004;1707958783;313
40006;1707958784;314
40007;1707958785;315
40003;1707958786;316
40003;1707958787;317
40001;1707958788;318
40003;1707958789;319
2560;1707958789;319
40006;1707958790;320
40005;1707958791;321
40005;1707958792;322
40002;1707958793;323
40004;1707958794;324
40005;1707958795;325
40004;1707958796;326
40010;1707958797;327
40004;1707958798;328
40005;1707958799;329
40004;1707958800;330
40006;1707958801;331
40007;1707958802;332
40008;1707958803;333
40007;1707958804;334
40004;1707958805;335
40004;1707958806;336
40007;1707958807;337
40002;1707958808;338
40007;1707958809;339
40000;1707958810;340
40002;1707958811;341
40002;1707958812;342
40010;1707958813;343
40006;1707958814;344
40009;1707958815;345
40003;1707958816;346
40008;1707958817;347
1280;1707958817;347
40005;1707958818;348
40007;1707958819;349
40004;1707958820;350
40006;1707958821;351
40008;1707958822;352
40007;1707958823;353
40004;1707958824;354
40006;1707958825;355
40011;1707958826;356
40009;1707958827;357
40008;1707958828;358
40008;1707958829;359
560;1707958829;359
40008;1707958830;360
40005;1707958831;361
40003;1707958832;362
40008;1707958833;363
40014;1707958834;364
40011;1707958835;365
40011;1707958836;366
40009;1707958837;367
40008;1707958838;368
40006;1707958839;369
660;1707958839;369
40009;1707958840;370
40013;1707958841;371
40009;1707958842;372
40007;1707958843;373
40005;1707958844;374
40012;1707958845;375
40010;1707958846;376
40011;1707958847;377
40010;1707958848;378
40008;1707958849;379
40008;1707958850;380
40010;1707958851;381
40011;1707958852;382
40006;1707958853;383
40012;1707958854;384
40012;1707958855;385
40009;1707958856;386
40007;1707958857;387
40009;1707958858;388
40011;1707958859;389
40012;1707958860;390
40010;1707958861;391
40010;1707958862;392
40010;1707958863;393
40008;1707958864;394
3880;1707958865;395
40012;1707958865;395
40008;1707958866;396
40007;1707958867;397
40007;1707958868;398
40003;1707958869;399
40001;1707958870;400
40010;1707958871;401
40012;1707958872;402
40010;1707958873;403
40007;1707958874;404
40006;1707958875;405
40004;1707958876;406
40011;1707958877;407
40003;1707958878;408
40006;1707958879;409
40006;1707958880;410
40004;1707958881;411
40008;1707958882;412
40007;1707958883;413
40006;1707958884;414
40006;1707958885;415
40006;1707958886;416
540;1707958886;416
40008;1707958887;417
40011;1707958888;418
40008;1707958889;419
40005;1707958890;420
40007;1707958891;421
40007;1707958892;422
40007;1707958893;423
40007;1707958894;424
40006;1707958895;425
40005;1707958896;426
40009;1707958897;427
40005;1707958898;428
40008;1707958899;429
40006;1707958900;430
40005;1707958901;431
40005;1707958902;432
40009;1707958903;433
40009;1707958904;434
40009;1707958905;435
40007;1707958906;436
40008;1707958907;437
40005;1707958908;438
40008;1707958909;439
40006;1707958910;440
40009;1707958911;441
40008;1707958912;442
40004;1707958913;443
40007;1707958914;444
40012;1707958915;445
40007;1707958916;446
40010;1707958917;447
40007;1707958918;448
40012;1707958919;449
40006;1707958920;450
40008;1707958921;451
40010;1707958922;452
40009;1707958923;453
40006;1707958924;454
40004;1707958925;455
40006;1707958926;456
40010;1707958927;457
40010;1707958928;458
40009;1707958929;459
40009;1707958930;460
40008;1707958931;461
40011;1707958932;462
40010;1707958933;463
1680;1707958933;463
40005;1707958934;464
40005;1707958935;465
40007;1707958936;466
40011;1707958937;467
40010;1707958938;468
40007;1707958939;469
40007;1707958940;470
40003;1707958941;471
40007;1707958942;472
40009;1707958943;473
40009;1707958944;474
40007;1707958945;475
40012;1707958946;476
40006;1707958947;477
40011;1707958948;478
40006;1707958949;479
40005;1707958950;480
40005;1707958951;481
40006;1707958952;482
40006;1707958953;483
40004;1707958954;484
40005;1707958955;485
1540;1707958955;485
40008;1707958956;486
40005;1707958957;487
40003;1707958958;488
40001;1707958959;489
40006;1707958960;490
40007;1707958961;491
40006;1707958962;492
1300;1707958962;492
40006;1707958963;493
40003;1707958964;494
40006;1707958965;495
40011;1707958966;496
40003;1707958967;497
40003;1707958968;498
40005;1707958969;499
40005;1707958970;500
40005;1707958971;501
40004;1707958972;502
40005;1707958973;503
40002;1707958974;504
40008;1707958975;505
40005;1707958976;506
40005;1707958977;507
40008;1707958978;508
40004;1707958979;509
40002;1707958980;510
40004;1707958981;511
40009;1707958982;512
40005;1707958983;513
40004;1707958984;514
40005;1707958985;515
40005;1707958986;516
40003;1707958987;517
40004;1707958988;518
40005;1707958989;519
40008;1707958990;520
40007;1707958991;521
40006;1707958992;522
40004;1707958993;523
40006;1707958994;524
40003;1707958995;525
40004;1707958996;526
40003;1707958997;527
40003;1707958998;528
40003;1707958999;529
40002;1707959000;530
40006;1707959001;531
40005;1707959002;532
40002;1707959003;533
40006;1707959004;534
40004;1707959005;535
40002;1707959006;536
40004;1707959007;537
40008;1707959008;538
440;1707959009;539
40007;1707959009;539
40000;1707959010;540
40010;1707959011;541
40002;1707959012;542
40004;1707959013;543
40001;1707959014;544
40006;1707959015;545
40007;1707959016;546
40001;1707959017;547
40003;1707959018;548
40006;1707959019;549
40003;1707959020;550
40007;1707959021;551
40003;1707959022;552
40005;1707959023;553
40005;1707959024;554
40003;1707959025;555
40002;1707959026;556
40003;1707959027;557
40006;1707959028;558
40001;1707959029;559
40003;1707959030;560
40005;1707959031;561
40002;1707959032;562
40004;1707959033;563
40007;1707959034;564
40005;1707959035;565
40003;1707959036;566
40004;1707959037;567
40004;1707959038;568
40008;1707959039;569
40007;1707959040;570
40002;1707959041;571
40007;1707959042;572
40004;1707959043;573
40005;1707959044;574
40006;1707959045;575
40004;1707959046;576
40004;1707959047;577
40001;1707959048;578
40011;1707959049;579
40004;1707959050;580
40003;1707959051;581
40006;1707959052;582
40010;1707959053;583
40008;1707959054;584
40004;1707959055;585
40005;1707959056;586
40004;1707959057;587
40005;1707959058;588
40005;1707959059;589
40006;1707959060;590
40004;1707959061;591
40006;1707959062;592
40005;1707959063;593
40004;1707959064;594
40005;1707959065;595
40002;1707959066;596
40003;1707959067;597
40002;1707959068;598
40006;1707959069;599
40007;1707959070;600
40003;1707959071;601
40001;1707959072;602
40007;1707959073;603
1700;1707959074;604
40002;1707959074;604
40003;1707959075;605
40003;1707959076;606
40007;1707959077;607
40004;1707959078;608
40003;1707959079;609
40002;1707959080;610
40003;1707959081;611
40007;1707959082;612
40003;1707959083;613
1820;1707959084;614
40005;1707959084;614
40005;1707959085;615
40007;1707959086;616
40002;1707959087;617
40005;1707959088;618
40004;1707959089;619
40009;1707959090;620
40005;1707959091;621
40004;1707959092;622
40005;1707959093;623
40003;1707959094;624
40004;1707959095;625
40007;1707959096;626
40007;1707959097;627
40006;1707959098;628
40002;1707959099;629
40005;1707959100;630
40004;1707959101;631
40007;1707959102;632
40005;1707959103;633
40004;1707959104;634
40003;1707959105;635
40001;1707959106;636
40008;1707959107;637
40004;1707959108;638
40005;1707959109;639
40005;1707959110;640
40006;1707959111;641
40005;1707959112;642
40001;1707959113;643
40003;1707959114;644
40003;1707959115;645
40003;1707959116;646
40002;1707959117;647
40002;1707959118;648
40007;1707959119;649
40002;1707959120;650
40005;1707959121;651
40008;1707959122;652
40004;1707959123;653
40011;1707959124;654
40007;1707959125;655
40004;1707959126;656
40007;1707959127;657
40003;1707959128;658
40004;1707959129;659
40003;1707959130;660
40005;1707959131;661
40002;1707959132;662
40005;1707959133;663
40007;1707959134;664
40004;1707959135;665
40004;1707959136;666
40006;1707959137;667
40004;1707959138;668
40008;1707959139;669
40007;1707959140;670
40004;1707959141;671
40003;1707959142;672
40003;1707959143;673
40004;1707959144;674
40006;1707959145;675
40006;1707959146;676
40006;1707959147;677
40006;1707959148;678
40009;1707959149;679
40009;1707959150;680
40006;1707959151;681
40011;1707959152;682
40006;1707959153;683
40009;1707959154;684
40007;1707959155;685
40008;1707959156;686
40009;1707959157;687
2000;1707959158;688
40013;1707959158;688
40009;1707959159;689
40004;1707959160;690
40009;1707959161;691
40006;1707959162;692
40012;1707959163;693
40010;1707959164;694
40012;1707959165;695
40009;1707959166;696
40015;1707959167;697
40008;1707959168;698
100;1707959169;699
40012;1707959169;699
40012;1707959170;700
40012;1707959171;701
40011;1707959172;702
40012;1707959173;703
40014;1707959174;704
40012;1707959175;705
